Time,Volts,Measure
90.000,0.10,545
90.100,0.10,544
90.200,0.10,546
90.300,0.10,545
90.400,0.10,545
90.500,0.10,545
90.600,0.10,545
90.700,0.10,540
90.800,0.10,544
90.900,0.10,544
91.000,0.10,545
91.100,0.10,544
91.200,0.10,543
91.300,0.10,544
91.400,0.10,538
91.500,0.10,540
91.600,0.10,537
91.700,0.10,536
91.800,0.10,540
91.900,0.10,539
92.000,0.10,539
92.100,0.10,538
92.200,0.10,541
92.300,0.10,539
92.400,0.10,538
92.500,0.10,544
92.600,0.10,538
92.700,0.10,541
92.800,0.10,539
92.900,0.10,539
93.000,0.10,540
93.100,0.10,539
93.200,0.10,539
93.300,0.10,538
93.400,0.10,540
93.500,0.10,540
93.600,0.10,538
93.700,0.10,539
93.800,0.10,540
93.900,0.10,537
94.000,0.10,532
94.100,0.10,539
94.200,0.10,540
94.300,0.10,539
94.400,0.10,538
94.500,0.10,541
94.600,0.10,539
94.700,0.10,538
94.800,0.10,538
94.900,0.10,538
95.000,0.10,540
95.100,0.10,540
95.200,0.10,539
95.300,0.10,539
95.400,0.10,536
95.500,0.10,541
95.600,0.10,541
95.700,0.10,539
95.800,0.10,542
95.900,0.10,537
96.000,0.10,540
96.100,0.10,539
96.200,0.10,538
96.300,0.10,539
96.400,0.10,538
96.500,0.10,539
96.600,0.10,539
96.700,0.10,537
96.800,0.10,531
96.900,0.10,538
97.000,0.10,540
97.100,0.10,539
97.200,0.10,539
97.300,0.10,535
97.400,0.10,538
97.500,0.10,539
97.600,0.10,539
97.700,0.10,536
97.800,0.10,539
97.900,0.10,539
98.000,0.10,539
98.100,0.10,542
98.200,0.10,537
98.300,0.10,538
98.400,0.10,541
98.500,0.10,539
98.600,0.10,547
98.700,0.10,539
98.800,0.10,539
98.900,0.10,541
99.000,0.10,539
99.100,0.10,535
99.200,0.10,538
99.300,0.10,539
99.400,0.10,540
99.500,0.10,539
99.600,0.10,533
99.700,0.10,538
99.800,0.10,539
99.900,0.10,539
100.000,0.10,538
100.100,0.10,541
100.200,0.10,539
100.300,0.10,538
100.400,0.10,539
100.500,0.10,537
100.600,0.10,541
100.700,0.10,539
100.800,0.10,538
100.900,0.10,538
101.000,0.10,538
101.100,0.10,539
101.200,0.10,539
101.300,0.10,539
